,batter,pitcher,release_speed,launch_angle,launch_speed
0,15,17,89.4,,
1,15,17,90.2,67.0,68.5
2,15,17,82.8,,
3,15,17,88.5,,
4,15,17,92.1,,
5,15,17,92.7,,
6,15,17,89.1,,
7,15,17,89.5,,
8,15,17,80.5,-2.0,70.9
9,15,17,91.3,,
11,15,17,94.2,,
12,15,17,92.5,,
14,15,17,92.3,,
15,15,17,93.8,,
16,15,17,80.8,18.0,101.8
17,15,17,81.6,,
18,15,17,91.1,,
19,15,17,93.7,,
20,15,17,81.1,,
22,15,17,89.7,60.0,89.3
23,15,17,79.9,-34.0,86.0
24,15,17,93.5,,
25,15,17,79.6,,
26,15,17,80.7,,
27,15,17,81.2,,
28,15,17,93.3,-26.0,78.9
29,15,17,87.4,,
30,15,17,86.9,,
31,15,17,94.0,,
32,15,17,86.1,,
33,15,17,93.5,35.0,105.1
35,15,17,93.4,,
36,15,17,79.2,,
37,15,17,93.2,,
38,15,17,87.1,,
39,15,17,83.4,-34.0,42.7
40,15,17,84.1,,
42,15,17,85.4,,
43,15,17,82.5,21.0,82.4
44,15,17,82.7,,
45,15,17,80.3,,
46,15,17,80.6,2.0,100.3
47,15,17,81.9,,
48,15,17,91.1,-50.0,54.5
49,15,17,91.4,,
50,15,17,91.8,,
51,15,17,81.4,,
52,15,17,98.4,-50.0,87.5
53,15,17,90.6,,
54,15,17,98.2,,
55,15,10,93.4,-23.0,75.0
56,15,10,93.0,,
57,15,17,93.7,30.0,72.6
58,15,17,92.8,,
59,15,17,88.1,,
60,15,17,91.6,,
63,15,17,95.7,,
64,15,17,85.3,,
65,15,17,85.0,,
66,15,17,96.3,,
67,15,17,83.5,13.0,97.3
69,15,17,80.7,47.0,59.5
70,15,17,80.0,,
71,15,17,92.6,,
73,15,17,86.6,46.0,86.7
74,15,17,84.4,,
75,15,17,85.4,-59.0,76.0
76,15,17,91.9,,
77,15,17,83.6,,
78,15,17,87.5,,
79,15,17,93.8,33.0,72.2
80,15,17,82.8,-22.0,87.0
81,15,17,86.9,19.0,68.6
83,15,17,92.5,12.0,79.6
85,15,17,86.8,,
86,15,17,84.0,,
87,15,17,86.5,17.0,94.1
88,15,17,96.6,39.0,76.3
89,15,17,96.6,52.0,77.2
90,15,17,88.4,,
91,15,17,96.8,,
92,15,17,87.9,,
94,15,17,89.6,41.0,91.9
95,15,17,86.0,,
96,15,17,88.3,,
97,15,17,70.2,,
98,15,17,87.6,,
99,15,17,88.9,,
100,15,17,87.3,-27.0,58.4
101,15,17,93.6,,
103,15,17,88.8,-2.0,53.0
104,15,17,81.0,,
106,15,17,89.9,-16.0,83.5
107,15,17,79.7,,
109,15,17,88.0,,
111,15,17,86.8,-10.0,89.9
114,15,17,85.2,,
115,15,17,86.6,,
117,15,17,93.6,30.0,92.8
118,15,17,93.1,,
120,15,17,84.8,-60.0,29.9
121,15,17,83.8,,
122,15,17,91.5,,
123,15,17,83.9,-27.0,69.8
124,15,17,90.6,47.0,72.4
125,15,17,80.5,,
126,15,17,80.9,,
127,15,17,84.5,-18.0,87.2
128,15,17,84.1,-25.0,99.6
130,15,17,90.8,-24.0,81.0
131,15,17,83.7,,
132,15,17,90.3,,
133,15,17,80.0,17.0,101.1
135,15,17,91.1,-14.0,79.4
137,15,17,90.0,,
138,15,17,94.6,,
139,15,17,95.7,73.0,83.4
141,15,17,77.9,69.0,58.6
142,15,17,79.0,,
143,15,17,76.6,,
144,15,17,78.2,-35.0,79.2
145,15,17,85.1,,
146,15,17,86.2,,
147,15,17,99.4,,
148,15,17,84.0,-36.0,85.9
149,15,17,99.6,,
150,15,17,88.6,,
151,15,17,99.0,,
152,15,17,89.6,25.0,83.8
153,15,17,90.4,,
154,15,17,90.5,,
156,15,17,90.1,,
160,15,17,83.1,,
162,15,17,87.7,-27.0,73.5
165,15,17,82.1,13.0,87.2
166,15,17,84.6,,
167,15,17,81.5,,
169,15,17,84.9,,
172,15,17,89.0,55.0,79.5
173,15,17,81.2,36.0,84.2
178,15,17,75.8,68.0,78.1
179,15,17,82.5,24.0,73.9
180,15,17,76.3,,
182,15,17,75.2,,
183,15,17,88.7,,
184,15,17,83.0,4.0,99.3
186,15,17,76.9,32.0,98.8
188,15,17,94.6,27.0,72.9
189,15,17,94.7,,
193,15,17,45.8,1.0,89.1
195,15,17,95.4,,
196,15,17,76.8,,
197,15,17,90.1,-46.0,81.9
199,15,17,91.9,5.0,86.7
202,15,17,91.5,-21.0,75.2
204,15,17,90.4,10.0,109.8
206,15,17,93.7,30.0,93.2
207,15,17,94.8,55.0,75.5
209,15,17,94.1,,
212,15,17,92.9,,
214,15,17,93.3,,
217,15,17,91.5,9.0,90.4
218,15,17,92.2,,
219,15,17,82.2,38.0,62.5
220,15,17,82.4,56.0,70.9
223,15,17,91.4,-24.0,92.7
225,15,17,98.2,35.0,98.8
227,15,17,98.1,69.0,82.0
228,15,17,97.3,,
229,15,17,98.6,,
230,15,17,84.6,-20.0,94.2
233,15,17,78.7,-10.0,96.1
235,15,17,77.7,,
236,15,17,95.3,-47.0,80.3
