player_id,name,height,weight,school,country,position,team
1,Madison Bumgarner,193,116,South Caldwell HS,USA,1,1
2,Zac Gallen,188,85,University of North Carolina at Chapel Hill,USA,1,1
3,Seth Beer,190,96,Clemson,USA,0,1
4,Ketel Marte,185,95,,Dominican Republic,0,1
5,Max Fried,193,86,Harvard-Westlake HS,USA,1,2
6,Huascar Ynoa,188,99,,Dominican Republic,1,2
7,Guillermo Heredia,178,88,,Cuba,0,2
8,Adam Duvall,185,97,Louisville,USA,0,2
9,Alexander Wells,185,88,,Australia,1,3
10,Dillon Tate,188,88,UCSB,USA,1,3
11,Cedric Mullins,173,79,Campbell,USA,0,3
12,Trey Mancini,190,104,Notre Dame,USA,0,3
13,Frankie Montas,188,115,Colegio Creciendo,Dominican Republic,1,4
14,AJ Puk,201,112,Florida,USA,1,4
15,Elvis Andrus,183,95,,Venezuela,0,4
16,Sean Murphy,190,103,Wright State,USA,0,4
17,Justin Chen,173,64,Northeastern,Taiwan,1,5
